Id,State,date,New_cases
423,Uttar Pradesh,08-06-2018,12
424,Uttrakhand,10-06-2018,0
425,West Bengal,25-06-2018,Not Reported
426,A&N Island,09-06-2018,2
427,Chandigarh,21-06-2018,5
428,Delhi,01-06-2018,24
429,D&N Haveli,22-06-2018,25
430,Daman & Diu,09-06-2018,4
431,Puducherry,08-06-2018,2
432,Total,06-06-2018,3658
433,Andhara Pradesh,20-07-2018,928
434,Arunachal Pradesh,13-07-2018,0
435,Assam,20-07-2018,17
436,Bihar,28-07-2018,3
437,Chhattisgarh,25-07-2018,170
438,Goa,26-07-2018,71
439,Gujarat,08-07-2018,196
440,Haryana,27-07-2018,9
441,Himachal Pradesh,04-07-2018,481
442,J & K,19-07-2018,1
443,Jharkhand,28-07-2018,18
444,Karnataka,21-07-2018,606
445,Kerala,19-07-2018,779
446,Madhya Pradesh,10-07-2018,104
447,Meghalaya,03-07-2018,0
448,Maharashtra,07-07-2018,1046
449,Manipur,18-07-2018,2
450,Mizoram,11-07-2018,4
451,Nagaland,20-07-2018,0
452,Odisha,24-07-2018,568
453,Punjab,05-07-2018,31
454,Rajasthan,24-07-2018,239
455,Sikkim,09-07-2018,1
456,Tamil Nadu,20-07-2018,132
457,Tripura,08-07-2018,9
458,Telengana,25-07-2018,276
459,Uttar Pradesh,22-07-2018,34
460,Uttrakhand,05-07-2018,6
461,West Bengal,14-07-2018,Not Reported
462,A&N Island,08-07-2018,0
463,Chandigarh,24-07-2018,5
464,Delhi,25-07-2018,49
465,D&N Haveli,25-07-2018,18
466,Daman & Diu,24-07-2018,3
467,Puducherry,19-07-2018,9
468,Total,01-07-2018,5815
469,Andhara Pradesh,15-08-2018,1162
470,Arunachal Pradesh,28-08-2018,1
471,Assam,25-08-2018,10
472,Bihar,24-08-2018,45
473,Chhattisgarh,18-08-2018,587
474,Goa,15-08-2018,41
475,Gujarat,28-08-2018,583
476,Haryana,12-08-2018,40
477,Himachal Pradesh,07-08-2018,1276
478,J & K,04-08-2018,0
479,Jharkhand,18-08-2018,103
480,Karnataka,20-08-2018,362
481,Kerala,26-08-2018,293
482,Madhya Pradesh,17-08-2018,302
483,Meghalaya,23-08-2018,16
484,Maharashtra,08-08-2018,1728
485,Manipur,23-08-2018,2
486,Mizoram,27-08-2018,4
487,Nagaland,04-08-2018,88
488,Odisha,18-08-2018,1637
489,Punjab,17-08-2018,317
490,Rajasthan,08-08-2018,331
491,Sikkim,12-08-2018,67
492,Tamil Nadu,18-08-2018,178
493,Tripura,20-08-2018,10
494,Telengana,04-08-2018,529
495,Uttar Pradesh,21-08-2018,126
496,Uttrakhand,05-08-2018,10
497,West Bengal,20-08-2018,Not Reported
498,A&N Island,12-08-2018,0
499,Chandigarh,05-08-2018,17
500,Delhi,12-08-2018,160
501,D&N Haveli,21-08-2018,44
502,Daman & Diu,18-08-2018,8
503,Puducherry,27-08-2018,15
504,Total,13-08-2018,10092
505,Andhara Pradesh,25-09-2018,576
506,Arunachal Pradesh,24-09-2018,0
507,Assam,26-09-2018,20
508,Bihar,11-09-2018,166
509,Chhattisgarh,02-09-2018,1200
510,Goa,04-09-2018,36
511,Gujarat,11-09-2018,1518
512,Haryana,26-09-2018,245
513,Himachal Pradesh,20-09-2018,1481
514,J & K,21-09-2018,21
515,Jharkhand,23-09-2018,104
516,Karnataka,21-09-2018,300
517,Kerala,15-09-2018,282
518,Madhya Pradesh,09-09-2018,853
519,Meghalaya,22-09-2018,0
520,Maharashtra,27-09-2018,2047
521,Manipur,28-09-2018,1
522,Mizoram,04-09-2018,2
523,Nagaland,14-09-2018,147
524,Odisha,02-09-2018,1452
525,Punjab,01-09-2018,1970
526,Rajasthan,12-09-2018,962
527,Sikkim,09-09-2018,155
528,Tamil Nadu,19-09-2018,240
529,Tripura,16-09-2018,7
530,Telengana,17-09-2018,1173
531,Uttar Pradesh,18-09-2018,602
532,Uttrakhand,24-09-2018,190
533,West Bengal,26-09-2018,Not Reported
534,A&N Island,03-09-2018,10
535,Chandigarh,08-09-2018,56
536,Delhi,22-09-2018,889
537,D&N Haveli,11-09-2018,85
538,Daman & Diu,17-09-2018,36
539,Puducherry,20-09-2018,51
540,Total,16-09-2018,16877
541,Andhara Pradesh,01-10-2018,348
542,Arunachal Pradesh,24-10-2018,0
543,Assam,20-10-2018,30
544,Bihar,02-10-2018,841
